城市,行政区,楼宇名称,地址,楼宇性质,楼盘级别,入住日期,楼层,楼栋数,门洞数,租价,居住户数,入住人数,入住率,等候厅总数,等候厅媒体位,电梯总数,电梯媒体位,媒体位总数,大框数量,小框数量,受众描述,资源类型
昆明,盘龙区,江东.四季公寓,盘龙区北京路1212号,B-ap商住公寓,A,,18.0,1.0,2.0,11700.0,1800.0,5400.0,0.95,0.0,0.0,3,,9.0,0.0,9.0,①②⑥,电梯框架
昆明,盘龙区,江东.清水木华,盘龙区昆曲路磨盘山野生动物园旁,R-ap住宅,A,,18.0,3.0,6.0,11000.0,3500.0,10500.0,0.95,0.0,0.0,9,,27.0,0.0,27.0,①②⑥,电梯框架
昆明,盘龙区,江东.禧瑞都,盘龙区东二环与穿金路272号,R-ap住宅,A,,34.0,3.0,6.0,12000.0,7500.0,22500.0,0.95,0.0,0.0,9,,27.0,0.0,27.0,①②⑥,电梯框架
昆明,盘龙区,江东.小康城,小康西路,R-ap住宅,A,,18.0,20.0,40.0,15000.0,11000.0,33000.0,0.95,0.0,0.0,40,,120.0,0.0,120.0,①②⑥,电梯框架
昆明,盘龙区,江东.耀龙康城,盘龙区小康大道36号,R-ap住宅,A,,17.0,34.0,68.0,12200.0,800.0,2400.0,0.95,0.0,0.0,68,,204.0,0.0,204.0,①②⑥,电梯框架
昆明,盘龙区,江东.华龙人家,小康大道526,R-ap住宅,A,,6.0,46.0,46.0,11000.0,22000.0,66000.0,0.95,0.0,0.0,55,,165.0,0.0,165.0,①⑤⑦,电梯框架
昆明,盘龙区,江东.和谐家园,北京路延长线茶香路,R-ap住宅,A,,12.0,28.0,59.0,12500.0,5300.0,15900.0,0.95,0.0,0.0,93,,279.0,0.0,279.0,①⑤⑦,电梯框架
昆明,盘龙区,江东.书香门第,盘龙区小康大道与红园路交汇处,R-ap住宅,A,,32.0,25.0,46.0,12000.0,9000.0,27000.0,0.95,0.0,0.0,50,,150.0,0.0,150.0,①⑤⑦,电梯框架
昆明,盘龙区,碧桂园樾府1号地（新楼盘）,东三环虹桥汽车市场,R-ap住宅,A,,22.0,10.0,20.0,18000.0,3930.0,11790.0,0.95,0.0,0.0,20,,60.0,0.0,60.0,①⑤⑦,电梯框架
昆明,盘龙区,碧桂园樾府2号地（新楼盘）,东三环虹桥汽车市场,R-ap住宅,A,,22.0,10.0,20.0,18000.0,3930.0,11790.0,0.95,0.0,0.0,20,,60.0,0.0,60.0,①⑤⑦,电梯框架
昆明,官渡区,东原璞阅,人民东路与二环路交汇处,R-ap住宅,A,,30.0,7.0,7.0,15000.0,3555.0,10665.0,0.95,0.0,0.0,14,,56.0,0.0,56.0,①⑤⑦,电梯框架
昆明,盘龙区,源清轩景,盘龙区北部山水新城清波路,R-ap住宅,A,,26.0,7.0,15.0,12000.0,6000.0,18000.0,0.95,0.0,0.0,30,,90.0,0.0,90.0,①⑤⑦,电梯框架
昆明,盘龙区,碧桂园星荟园1期,盘龙区北部山水新城清波路,R-ap住宅,A,,28.0,4.0,8.0,12000.0,2400.0,7200.0,0.95,0.0,0.0,16,,64.0,0.0,64.0,①⑤⑦,电梯框架
昆明,官渡区,春城大观（领秀玉昆苑）,昆明巫家坝核心区飞虎大道,R-ap住宅,A,,24.0,6.0,12.0,22000.0,5700.0,17100.0,0.95,0.0,0.0,24,,96.0,0.0,96.0,①⑤⑦,电梯框架
昆明,官渡区,世纪城﹒望春苑,昆明市世纪城,R-ap住宅,A,,19.0,12.0,30.0,12000.0,7000.0,21000.0,0.95,0.0,0.0,30,,120.0,0.0,120.0,①②⑥,电梯框架
昆明,官渡区,世纪城﹒忆春苑,昆明市世纪城,R-ap住宅,A,,18.0,15.0,43.0,12000.0,7000.0,21000.0,0.95,0.0,0.0,86,,344.0,0.0,344.0,①②⑥,电梯框架
昆明,官渡区,世纪城﹒茗春苑,昆明市世纪城,R-ap住宅,A,,18.0,10.0,26.0,12000.0,4000.0,12000.0,0.95,0.0,0.0,52,,208.0,0.0,208.0,①②⑥,电梯框架
昆明,官渡区,世纪城﹒傲春苑,昆明市世纪城,R-ap住宅,A,,12.0,9.0,42.0,12000.0,5000.0,15000.0,0.95,0.0,0.0,42,,168.0,0.0,168.0,①②⑥,电梯框架
昆明,官渡区,世纪城﹒岚春苑,昆明市世纪城,R-ap住宅,A,,28.0,13.0,38.0,12000.0,6000.0,18000.0,0.95,0.0,0.0,76,,304.0,0.0,304.0,①②⑥,电梯框架
昆明,官渡区,世纪城﹒雅春苑,昆明市世纪城,R-ap住宅,A,,18.0,9.0,26.0,12000.0,4000.0,12000.0,0.95,0.0,0.0,52,,208.0,0.0,208.0,①②⑥,电梯框架
昆明,官渡区,世纪城﹒沁春苑,昆明市世纪城,R-ap住宅,A,,12.0,10.0,52.0,12000.0,6000.0,18000.0,0.95,0.0,0.0,52,,208.0,0.0,208.0,①②⑥,电梯框架
昆明,官渡区,世纪城﹒咏春苑,昆明市世纪城,R-ap住宅,A,,12.0,6.0,26.0,12000.0,3000.0,9000.0,0.95,0.0,0.0,26,,104.0,0.0,104.0,①②⑥,电梯框架
昆明,官渡区,世纪城﹒华春苑,昆明市世纪城,R-ap住宅,A,,18.0,20.0,50.0,12000.0,6500.0,19500.0,0.95,0.0,0.0,100,,400.0,0.0,400.0,①②⑥,电梯框架
昆明,官渡区,世纪城惜春苑,昆明市官渡区世纪城中路与如意环路交叉路口向西约150米,R-ap住宅,A,,18.0,9.0,30.0,12000.0,1056.0,3168.0,0.95,0.0,0.0,30,,120.0,0.0,120.0,①②③⑤,电梯框架
昆明,官渡区,世纪城迎春苑,昆明市官渡区世纪城中路与如意环路交叉路口向西约150米,R-ap住宅,A,,18.0,9.0,27.0,12000.0,1024.0,3072.0,0.95,0.0,0.0,54,,216.0,0.0,216.0,①②③⑤,电梯框架
昆明,官渡区,世纪城玉春苑,昆明市官渡区世纪城中路与如意环路交叉路口向西约150米,R-ap住宅,A,,18.0,21.0,75.0,12000.0,2918.0,8754.0,0.95,0.0,0.0,75,,300.0,0.0,300.0,①②③⑤,电梯框架
昆明,官渡区,世纪城元春苑,昆明市官渡区世纪城中路与如意环路交叉路口向西约150米,R-ap住宅,A,,18.0,8.0,33.0,12000.0,1200.0,3600.0,0.95,0.0,0.0,66,,264.0,0.0,264.0,①②③⑤,电梯框架
昆明,官渡区,世纪城探春苑,昆明市官渡区世纪城中路与如意环路交叉路口向西约150米,R-ap住宅,A,,19.0,7.0,25.0,12000.0,962.0,4500.0,0.95,0.0,0.0,25,,100.0,0.0,100.0,①②③⑤,电梯框架
昆明,官渡区,世纪城﹒金源商务中心,昆明市世纪城,Plaza写字楼,A,,22.0,3.0,6.0,12000.0,1800.0,5400.0,0.95,0.0,0.0,9,,36.0,0.0,36.0,①②⑥,电梯框架
昆明,官渡区,万科.城市之光,郭家凹村538号,R-ap住宅,A,,33.0,9.0,9.0,12000.0,6000.0,18000.0,0.95,0.0,0.0,18,,54.0,0.0,54.0,①⑤⑦,电梯框架
昆明,官渡区,万科.魅力之城7-2地块四期（A5）,广居路899号,R-ap住宅,A,,34.0,5.0,5.0,14000.0,5200.0,15600.0,0.95,0.0,0.0,13,,39.0,0.0,39.0,①⑤⑦,电梯框架
昆明,官渡区,万科.魅力之城8-1地块五期（A6）,广居路899号,R-ap住宅,A,,34.0,8.0,8.0,14000.0,5700.0,17100.0,0.95,0.0,0.0,16,,48.0,0.0,48.0,①⑤⑦,电梯框架
昆明,官渡区,万科.魅力之城8-2地块（A6）,广居路899号,R-ap住宅,A,,34.0,7.0,7.0,14000.0,4398.0,13194.0,0.95,0.0,0.0,7,,21.0,0.0,21.0,①②⑥,电梯框架
昆明,官渡区,万科.金域南郡公园里3期,彩云北路与云福路交汇处,R-ap住宅,A,,33.0,9.0,9.0,13000.0,4300.0,12900.0,0.95,0.0,0.0,18,,54.0,0.0,54.0,①②⑥,电梯框架
昆明,官渡区,万科.大都会一期,广福路与昌宏路交汇处,R-ap住宅,A,,30.0,9.0,9.0,13000.0,4800.0,14400.0,0.95,0.0,0.0,18,,54.0,0.0,54.0,①②⑥,电梯框架
昆明,官渡区,万科.紫金中心,众天路,Plaza写字楼,A,,22.0,1.0,2.0,13000.0,1680.0,5040.0,0.95,0.0,0.0,4,,12.0,0.0,12.0,①②⑥,电梯框架
昆明,官渡区,海伦国际2号地,广福路与金源大道交汇处,R-ap住宅,A,,40.0,2.0,2.0,13500.0,0.0,0.0,0.95,0.0,0.0,8,,24.0,0.0,24.0,①②⑥,电梯框架
昆明,官渡区,海伦国际.海德区4号地,广福路与金源路交汇处,R-ap住宅,A,,7.0,9.0,9.0,13000.0,10000.0,30000.0,0.95,0.0,0.0,24,,72.0,0.0,72.0,①②⑥,电梯框架
昆明,官渡区,海伦国际.海伦区5号地,广福路与金源路交汇处,R-ap住宅,A,,39.0,7.0,14.0,13000.0,10000.0,30000.0,0.95,0.0,0.0,28,,84.0,0.0,84.0,①②⑥,电梯框架
昆明,官渡区,海伦国际.依云郡6号地,广福路与金源路交汇处,R-ap住宅,A,,40.0,8.0,8.0,15000.0,8900.0,26700.0,0.95,0.0,0.0,24,,72.0,0.0,72.0,①②⑥,电梯框架
昆明,官渡区,海伦国际.米兰区7号地,吉祥中路上近金源大道,R-ap住宅,A,,33.0,7.0,7.0,16000.0,8000.0,24000.0,0.95,0.0,0.0,20,,60.0,0.0,60.0,①②⑥,电梯框架
