省（直辖市）,城市,播控形式,城市级别,行政区,商圈,点位名称,场景,位置,尺寸（宽*高）,面积,MR尺寸,时长（S）,轮播频次(次/天),周期,周客流（万）,120刊例价,180刊例价,地址,亮屏时间
山西,大同,单点播控,四线,云冈区,核心商圈,大同吾悦广场B,室内,中庭,7.3*2.69,19.637,,15.0,120.0,4,25.0,90000.0,,山西省大同市南环西路与平德路交汇处（恒安新区北侧）,10：00-22：00
山西,晋中,单点播控,四线,榆次区,万达商圈,万达广场（新建北路店）（户外）,户外,外墙,12.84*8.4,107.86,,15.0,180.0,4,28.0,,150000.0,山西省晋中市榆次区新建北路556号万达广场,10：00-22：00
山西,晋中,单点播控,四线,榆次区,万达商圈,万达广场（定阳路）（户外）,户外,外墙,57.5*10,575.0,,15.0,180.0,4,30.0,,150000.0,山西省晋中市榆次区仁和街大学城生活广场南侧约60米,10：00-22：00
山西,运城,单点播控,四线,盐湖区,万达商圈,运城万达广场（户外）,户外,外墙,14.5*7.6,110.2,,15.0,180.0,4,25.0,,150000.0,山西省运城市盐湖区禹西路与铺安街交叉口,10：00-22：00
山西,临汾,单点播控,四线,经济技术开发区,万达商圈,万达广场（尧都店）（户外）,户外,外墙,20*8,160.0,,15.0,180.0,4,16.0,,150000.0,山西省临汾市经济技术开发区常兴中街120号（中大街中段东侧）,10：00-22：00
山西,吕梁,单点播控,四线,孝义市,万达商圈,万达广场（孝义店）（户外）,户外,外墙,9.28*3.84,35.63,,15.0,120.0,4,25.0,150000.0,,山西省吕梁市孝义市新安街327号(大众路与新安街交叉口),10：00-22：00
山西,朔州,单点播控,五线,朔城区,万达商圈,万达广场（朔州店）（户外）,户外,外墙,12*10,120.0,,15.0,120.0,4,17.0,150000.0,,山西省朔州市朔城区鄯阳西街与怡西路交叉路口,10：00-22：00
山西,晋城,单点播控,五线,城区,万达商圈,万达广场（晋城店）（户外）,户外,外墙,15*8,120.0,,15.0,180.0,4,21.0,,200000.0,山西省晋城市文峰路与白水东街交叉口东南角(近皇城新区),10：00-22：00
新疆,乌鲁木齐,单点播控,三线,天山,人民公园商圈,乌鲁木齐CCMALL时代广场A（双屏）,中庭,中庭双屏联播,6*25=150*2,300.0,,30.0,300.0,1,35.0,,100000.0,乌鲁木齐市天山区光明路39号,"夏季11:00-00:00
冬季11:00-23:00"
新疆,乌鲁木齐,单点播控,三线,天山,人民公园商圈,乌鲁木齐CCMALL时代广场B,户外,室外LED大屏,40*8,320.0,,15.0,180.0,2,35.0,,1200000.0,乌鲁木齐市天山区光明路39号,9:00-01:00
新疆,乌鲁木齐,单点播控,三线,沙依巴克,火车南站商圈,乌鲁木齐德汇万达广场,户外,室外LED大屏,15*8,120.0,,15.0,180.0,1,30.0,,30000.0,乌鲁木齐市沙依巴克区长江路街道碾子沟社区奇台路658号,"夏季11:00-21:50
冬季11:00-23:00"
新疆,乌鲁木齐,单点播控,三线,水磨沟,会展商圈,乌鲁木齐吾悦广场（会展店）,中庭,中庭,10*3,30.0,,15.0,120.0,1,30.0,60000.0,,乌鲁木齐市水磨沟区会展北路1166号,10:00-22:00
新疆,克拉玛依,单点播控,五线,克拉玛依,滨河广场商圈,克拉玛依汇嘉时代购物中心（户外）,户外,外墙,16.6*8,133.0,,15.0,120.0,1,150.0,90000.0,,新疆克拉玛依市克拉玛依区幸福路戊一号,10:30-23:00
新疆,克拉玛依,单点播控,五线,克拉玛依,滨河广场商圈,克拉玛依汇嘉时代（准噶尔路店）（户外）,户外,东门外墙,15*8.3,125.0,,15.0,120.0,1,130.0,90000.0,,新疆克拉玛依市克拉玛依区准噶尔路218号,10:30-23:00
新疆,阿克苏地区,单点播控,五线,阿克苏市,天百商圈,阿克苏友好天百时尚购物中心（户外）,户外,正门外墙,15*8.3,125.0,,15.0,90.0,1,150.0,80000.0,,新疆维吾尔自治区阿克苏地区阿克苏市北京东路71号,9:30-23:30
甘肃,定西,单点播控,五线,定西,定西商圈,定西安定万达广场,户外,室外屏,15.4*8.4,129.36,,15.0,120.0,1,36.0,94000.0,,定西市安定区岷县街与陇西路交叉口,10:00-22:00
甘肃,定西,单点播控,五线,定西,定西商圈,定西安定万达广场(场内A）,中庭,室内屏,10.4*1.55,16.2,,15.0,120.0,1,36.0,40000.0,,定西市安定区岷县街与陇西路交叉口,10:00-22:00
甘肃,定西,单点播控,五线,定西,定西商圈,定西安定万达广场(场内B）,中庭,室内屏,6.4*1.55,9.92,,15.0,120.0,1,36.0,30000.0,,定西市安定区岷县街与陇西路交叉口,10:00-22:00
甘肃,酒泉,单点播控,五线,肃州,肃州商圈,酒泉肃州万达广场A,户外,户外屏,14.4*8.14,117.22,,15.0,120.0,1,38.0,90000.0,,酒泉市肃州区富康西路1号,10:00-22:00
甘肃,酒泉,单点播控,五线,肃州,肃州商圈,酒泉肃州万达广场B,室内,室内屏,23*1.2,27.6,,15.0,120.0,1,38.0,30000.0,,酒泉市肃州区富康西路1号,10:00-22:00
甘肃,兰州,单点播控,二线,城关,东方红商圈,兰州国芳百货A（广场店）,户外,户外屏,19.5*11.3,220.35,,15.0,,1,25.0,400000.0,600000.0,兰州市城关区广场南路4-6号(东方红广场地铁站D5口旁),8:30-21:30
甘肃,兰州,单点播控,二线,城关,东方红商圈,兰州国芳百货B（广场店）,户外,户外屏,23.6*13,308.8,,15.0,,1,25.0,400000.0,600000.0,兰州市城关区广场南路4-6号(东方红广场地铁站D5口旁),8:30-21:30
甘肃,兰州,单点播控,二线,城关,雁滩商圈,兰州城关万达广场,中庭,1号室内中庭二楼环廊LED屏,12.8*3.36,43.0,,15.0,120.0,1,39.0,60000.0,,兰州市城关区天水北路68号,10:00-22:00
甘肃,兰州,单点播控,二线,城关,雁滩商圈,兰州南滨河万达,室内,室内屏,5*3,15.0,,15.0,120.0,1,26.0,30000.0,,甘肃省兰州市城关区南滨河东路5002-5270号,10:00-22:00
甘肃,兰州,单点播控,二线,七里河,建兰路商圈,兰州中心,中庭,（二层A7中庭）,7*3=21,21.0,,15.0,120.0,1,44.0,150000.0,,兰州市七里河区西津西路16号,10:00-22:00
甘肃,兰州,单点播控,二线,七里河,兰州西站商圈,兰州中天健广场,户外,户外屏,7.2*15.2,109.44,,15.0,,1,25.0,180000.0,300000.0,兰州市七里河区柳家营1号,9:30-21:30
甘肃,兰州,单点播控,二线,七里河区,兰奥商圈,兰州万达茂（户外）,户外,1号门左侧外立面,24.5*9.8,240.1,,15.0,120.0,1,46.0,600000.0,,甘肃省兰州市南滨河西路1399号,10:00-22:00
甘肃,兰州,单点播控,五线,安宁区,海关商圈,兰州安宁吾悦广场（户外）,户外,1号门正上方户外屏,17*11,187.0,,15.0,120.0,1,33.0,600000.0,,甘肃省兰州市安宁区银滩路252号吾悦广场,10:00-22:00
甘肃,临夏,单点播控,五线,临夏市,临夏商圈,临夏百益时代广场,户外,户外屏,13*16.32,212.29,,15.0,120.0,4,100.0,300000.0,,临夏回族自治州临夏市城北街道大什字团结路一号百益时代广场,9:00-21:00
甘肃,陇南,单点播控,五线,武都,武都商圈,陇南昌盛缤纷城,户外,户外屏（缤纷城超市入口）,7.04*1.76,12.4,,15.0,120.0,1,25.0,30000.0,,陇南市武都区东江镇东江路11号昌盛缤纷城,8:00-23:00
甘肃,陇南,单点播控,五线,武都,武都商圈,陇南兰天莲湖广场,户外,户外屏,14.336*8.96,128.45,,15.0,180.0,1,28.0,,80000.0,陇南市武都区新市街人民路莲湖公园对面,"上午09:30-13:30
下午14:00-21:00"
甘肃,天水,单点播控,五线,秦州,天水商圈,天水秦州万达广场,户外,户外屏,15*10,150.0,,15.0,120.0,1,38.0,56000.0,,天水市秦州区岷山路37号,10:00-22:00
甘肃,天水,单点播控,五线,秦州,兰天商圈,天水兰天城市广场,中庭,中庭,5*3,15.0,,15.0,,1,30.0,30000.0,40000.0,甘肃省天水市秦州区官泉路1号,10:00-22:00
甘肃,武威,单点播控,五线,凉州,凉州商圈,武威凉州万达广场,户外,户外屏,15.01*7.84,117.66,,15.0,120.0,1,30.0,56000.0,,武威市凉州区迎宾路318号,10:00-22:00
甘肃,银川,单点播控,五线,兴庆区,友爱商圈（城东商圈）,银川兴庆万达（户外）,户外,一号门正上方,15.36*8.4,129.02,,15.0,120.0,1,32.0,600000.0,,宁夏省银川市兴庆区宝湖路,10:00-22:00
甘肃,嘉峪关,单点播控,五线,雄关区,雄关广场商圈,名嘉汇时尚中心（阳光·金水湾店）（户外）,户外,户外门头屏,商场说按照像素做就行,,,15.0,120.0,4,39.0,100000.0,,甘肃省嘉峪关市建设西路阳光金水湾66号楼,10:00-22:00
甘肃,嘉峪关,单点播控,五线,雄关区,雄关广场商圈,名嘉汇时尚中心（阳光·金水湾店）,中庭,二楼环廊,商场说按照像素做就行,,,15.0,120.0,4,29.0,50000.0,,甘肃省嘉峪关市建设西路阳光金水湾66号楼,10:00-22:00
贵州,贵阳,单点播控,二线,清镇,白马商圈,贵阳清镇吾悦广场,中庭,中庭,7*2.8,19.6,,15.0,180.0,1,15.0,,40000.0,贵阳市清镇市清州大道四季贵州椿棠府南侧,10:00-22:00
贵州,贵阳,单点播控,二线,云岩,大营坡商圈,贵阳益田假日世界,中庭,中庭,11*15,165.0,,15.0,180.0,4,30.0,,80000.0,贵阳市云岩区新添大道94-136号,10:00-22:00
贵州,贵阳,单点播控,二线,观山湖,观山湖商圈,贵阳万象汇,户外,户外主入口,18.88*14.08,265.83,,15.0,120.0,4,35.0,576000.0,,贵阳市观山湖区兴筑路88号,10:00-22:00
贵州,贵阳,单点播控,二线,观山湖,国际生态会议中心,贵阳云上方舟,中庭,中庭,9.5*3.6,34.2,,15.0,120.0,1,28.0,30000.0,,贵阳市观山湖区林城东路国际生态会议中心地铁站c口旁,10:00-22:00
贵州,贵阳,单点播控,二线,观山湖,开元商圈,贵阳悦然时光,户外,户外,商场未知,,,15.0,120.0,4,32.0,640000.0,,贵阳市观山湖区时光街美的悦然时光,17:00-22:00
贵州,贵阳,单点播控,云岩区,云岩区,贵阳云岩万达广场,贵阳云岩万达广场(户外),户外,室外四光路和新添大道南段交汇处,16（宽）*9（高）,144.0,,15.0,120.0,1,15.0,20000.0,20000.0,贵州省贵阳市云岩区新添大道南段路302号,10:00-22:00
贵州,贵阳,单点播控,云岩区,云岩区,贵阳云岩万达广场,贵阳云岩万达广场,中庭,2豪门上方屏,4.8（宽）*12.8（高）,61.44,,15.0,120.0,1,15.0,20000.0,20000.0,贵州省贵阳市云岩区新添大道南段路302号,10:00-22:00
